Name,Attribute,Type,Level,Attack,Defense,Description,Property,Status,Limitation text
Acid Crawler,EARTH,Insect,3,900,700,''A giant caterpillar that secretes an acid mist that melts anything.'',,,
Acid Rain,,Magic,,,,Destroy all face-up Machine-Type monsters on the field.,Normal,,
Acid Trap Hole,,Trap,,,,"Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.",Normal,,
Acidic Downpour,,Magic,,,,All EARTH monsters lose 500 ATK and gain 400 DEF.,Field,,
Acrobat Monkey,EARTH,Machine,3,1000,1800,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.,,,
Adhesion Trap Hole,,Trap,,,,When your opponent Summons a monster(s): Halve that monster(s)'s original ATK.,Normal,,
Adhesive Explosive,WIND,Machine / Effect,3,1000,1000,"Before damage calculation, if this card was attacked by an opponent's monster and was in face-down Defense Position at the start of the Damage Step: Equip this card to the attacking monster. Then, during your opponent's next Standby Phase, destroy the monster this card is equipped to.",,,
Advanced Ritual Art,,Magic,,,,This card is used to Ritual Summon any 1 Ritual Monster. You must also send Normal Monsters from your Deck to the GY whose total Levels equal the Level of that Ritual Monster.,Ritual,,
Aegis of Gaia,,Trap,,,,"Gain 3000 Life Points. If this face-up card is removed from the field, take 3000 damage.",Continuous,,
After the Struggle,,Magic,,,,This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.,Normal,,
Agido,EARTH,Fairy / Effect,4,1500,1300,"When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can Special Summon 1 Fairy-Type monster from your Graveyard whose Level is equal to the number rolled. (If the result is 6, you can Special Summon a Level 6 or higher monster.)",,,
Air Eater,WIND,Fiend,6,2100,1600,"''A monster that feeds on oxygen, suffocating any who stand near.''",,,
Airknight Parshath,LIGHT,Fairy / Effect,5,1900,1400,"If this card attacks a Defense Position monster, inflict piercing battle damage. If this card inflicts battle damage to your opponent: Draw 1 card.",,,
Aitsu,FIRE,Fairy,5,100,100,"He seems to be very unreliable, but he might have incredible potential.",,,
Akakieisu,DARK,Spellcaster,3,1000,800,''A sorcerer who utters spells that render monsters unconscious.'',,,
Akihiron,WATER,Aqua,5,1700,1400,"''This strange creature hides in the deep, dark corners of the seven seas.''",,,
Alchemy Cycle,,Trap,,,,"The original ATK of all face-up monsters you control becomes 0, until the End Phase. Each time a monster that had its original ATK reduced to 0 by this effect is destroyed by battle and sent to the Graveyard, draw 1 card.",Normal,,
Alien Grey,LIGHT,Reptile / Flip / Effect,2,300,800,"FLIP: Place 1 A-Counter on 1 face-up monster on your opponent's side of the field. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) After this card has been flipped face-up, when it is destroyed by battle and sent to the Graveyard, draw 1 card.",,,
Alien Hunter,WATER,Reptile / Effect,4,1600,800,"If this card destroys a monster with an A-Counter by battle, it can attack once again in a row.",,,
Alien Hypno,WATER,Reptile / Gemini / Effect,4,1600,700,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect:
● During your Main Phase, you can select 1 monster your opponent controls with an A-Counter(s), and take control of it while this card is on the field. During each of your End Phases, remove 1 A-Counter from each controlled monster. If all A-Counters are removed from one of these monsters, destroy it.",,,
Alien Infiltrator,EARTH,Reptile / Effect,2,800,500,"Once per turn, this card can move to an adjacent (horizontal) unoccupied Monster Card Zone. If no Spell, Trap or Monster Card on your opponent's side of the field is in the same column as this card, it can attack your opponent directly.",,,
Alien Mars,FIRE,Reptile / Effect,3,1000,1000,"The effects of Effect Monsters with A-Counters are negated, except for ""Alien Mars"".",,,
Alien Mother,DARK,Reptile / Effect,6,2300,1500,"If this card destroys a monster with an A-Counter by battle and sends it to the Graveyard, Special Summon the destroyed monster to your side of the field at the end of the Battle Phase. When this card is removed from the field, all monsters that were Special Summoned by this card's effect are destroyed.",,,
Alien Psychic,DARK,Reptile / Effect,1,200,100,This card is changed to Defense Position when it is Normal Summoned or Flip Summoned. Monsters with A-Counters cannot declare an attack.,,,
Alien Shocktrooper,EARTH,Reptile,4,1900,800,"The Aliens have used a mysterious biological substance to create a supreme race of soldiers. They do not have the natural powers of the other Aliens, but can make stunning physical attacks.",,,
Alien Skull,WIND,Reptile / Effect,4,1600,1800,"You can Tribute 1 face-up Level 3 or lower monster on your opponent's side of the field to Special Summon this card to your opponent's side of the field. If you Special Summon this monster this way, place 1 A-Counter on this card, and you cannot Normal Summon or Set the same turn. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)",,,
Alien Telepath,FIRE,Reptile / Effect,4,1600,1000,"Once per turn, you can remove 1 A-Counter from an opponent's monster to destroy 1 Spell or Trap Card. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)",,,
Alien Warrior,EARTH,Reptile / Effect,4,1800,1000,"When this card is destroyed by battle and sent to the Graveyard, place 2 A-Counters on the monster that destroyed it. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)",,,
Alinsection,EARTH,Insect,3,950,700,A stag beetle with a saw-like head and arms.,,,
All-Out Attacks,,Trap,,,,"If a monster(s) is Special Summoned while this card is face-up on the field: Change that monster to face-up Attack Position, and must attack, if able, during the turn they are Special Summoned.",Continuous,,
Alligator's Sword,EARTH,Beast,4,1500,1200,"ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound!",,,
Alligator's Sword Dragon,WIND,Dragon / Fusion / Effect,5,1700,1500,"""Baby Dragon"" + ""Alligator's Sword""
This card can attack your opponent directly if the only face-up monsters they control are EARTH, WATER, or FIRE.",,,
Allure Queen LV3,DARK,Spellcaster / Effect,3,500,500,"Once per turn, during your Main Phase, you can select 1 Level 3 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 ""Allure Queen LV5"" from your hand or Deck.",,,
Allure Queen LV5,DARK,Spellcaster / Effect,5,1000,1000,"Once per turn, during your Main Phase, if this card was Special Summoned by the effect of ""Allure Queen LV3"", you can select 1 Level 5 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 ""Allure Queen LV7"" from your hand or Deck.",,,
Allure Queen LV7,DARK,Spellcaster / Effect,7,1500,1500,"Once per turn, during your Main Phase, if this card was Special Summoned by the effect of ""Allure Queen LV5"", you can select 1 monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead.",,,
Alpha The Magnet Warrior,EARTH,Rock,4,1400,1700,"''Alpha, Beta, and Gamma meld as one to form a powerful monster.''",,,
Altar for Tribute,,Trap,,,,Select 1 monster on your side of the field and send it to the Graveyard. Increase your Life Points by an amount equal to the original ATK of the monster.,Normal,,
Amazon of the Seas,WATER,Fish,4,1300,1400,A mermaid who serves as a herald to the Ocean Lord. She protects the sacred domain of Atlantis.,,,
Amazoness Archer,EARTH,Warrior / Effect,4,1400,1000,You can Tribute 2 monsters; inflict 1200 damage to your opponent.,,,
Amazoness Archers,,Trap,,,,"When an opponent's monster declares an attack, while you control an ""Amazoness"" monster: Change all monsters your opponent currently controls to face-up Attack Position (Flip Effects are not activated), they lose 500 ATK, also they must attack this turn, if able.",Normal,,
Amazoness Blowpiper,EARTH,Warrior / Effect,3,800,1500,Select 1 face-up monster your opponent controls during each of your Standby Phases. It loses 500 ATK until the end of this turn.,,,
Amazoness Chain Master,EARTH,Warrior / Effect,4,1500,1300,"When this card is destroyed by battle and sent to the GY: You can pay 1500 LP; look at your opponent's hand, then add 1 monster from their hand to your hand.",,,
Amazoness Fighter,EARTH,Warrior / Effect,4,1500,1300,You take no battle damage from attacks involving this card.,,,
Amazoness Paladin,EARTH,Warrior / Effect,4,1700,300,"This card gains 100 ATK for each ""Amazoness"" monster you control.",,,
Amazoness Spellcaster,,Magic,,,,"Target 1 ""Amazoness"" monster you control and 1 face-up monster your opponent controls; switch the original ATK of those targets until the end of this turn.",Normal,,
Amazoness Swords Woman,EARTH,Warrior / Effect,4,1500,1600,Your opponent takes any battle damage you would have taken from battles involving this card instead.,,,
Amazoness Tiger,EARTH,Beast / Effect,4,1100,1500,"You can only control 1 ""Amazoness Tiger"". This card gains 400 ATK for each ""Amazoness"" monster you control. Your opponent cannot attack any face-up ""Amazoness"" monsters, except this one.",,,
Ambulance Rescueroid,FIRE,Machine / Fusion / Effect,6,2300,1800,"""Rescueroid"" + ""Ambulanceroid""
This monster cannot be Special Summoned except by Fusion Summon. Once per turn, when a monster on your side of the field is destroyed by battle and sent to the Graveyard, you can Special Summon that monster in Defense Position.",,,
Ambulanceroid,EARTH,Machine / Effect,3,300,1200,"When a ""roid"" monster is added from your Graveyard to your hand, you can Special Summon that monster.",,,
Ambush Fangs,,Trap,,,,"Activate only when a face-up ""Venom"" monster you control is declared as an attack target. Negate the attack and end the Battle Phase. Then place 1 Venom Counter on the monster that attacked.",Normal,,
Ameba,WATER,Aqua / Effect,1,300,350,"When the control of this face-up card on the field shifts to your opponent, inflict 2000 points of damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field.",,,
Amphibian Beast,WATER,Fish,6,2400,2000,"On land or in the sea, the speed of this monster is unmatchable.",,,
Amphibious Bugroth,WATER,Aqua / Fusion,5,1850,1300,"""Ground Attacker Bugroth"" + ""Defender of the Sea""",,,
Amphibious Bugroth MK-3,WATER,Machine / Effect,4,1500,1300,"While ""Umi"" is face-up on the field, this card can attack your opponent's Life Points directly.",,,
Amplifier,,Magic,,,,"Equip only to ""Jinzo"". While this card is equipped, the equipped monster's effect does not negate the effects of its controller's Trap Cards. When this card is removed from the field, destroy the equipped monster. This card's activation and effect cannot be negated.",Equip,,
Amulet of Ambition,,Magic,,,,"Equip only to a Normal Monster. If it battles a monster with a higher Level, the equipped monster gains 500 ATK x the difference in Levels, during that damage calculation only. When this card is sent to the GY: You can place it on top of your Deck.",Equip,,
An Owl of Luck,WIND,Winged Beast / Flip / Effect,2,300,500,"FLIP: Select 1 Field Spell Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is on the field, you can add the selected Field Spell Card to your hand instead.",,,
An Unfortunate Report,,Trap,,,,Your opponent conducts their next Battle Phase twice.,Normal,,
Ancient Brain,DARK,Fiend,3,1000,700,A fallen fairy that is powerful in the dark.,,,
Ancient City - Rainbow Ruins,,Magic,,,,"You must have this many ""Crystal Beast"" cards in your Spell & Trap Card Zone to activate and to resolve these effects. ● 1+: This card cannot be destroyed by card effects. ● 2+: Once per turn (including the opponent's) you can halve the Battle Damage you take. ● 3+: During either player's turn, when a Spell/Trap Card is activated: You can send 1 ""Crystal Beast"" monster you control to the Graveyard; negate the activation, and if you do, destroy it. ● 4+: Once per turn, during your Main Phase: You can draw 1 card. ● 5: Once per turn, during your Main Phase: You can target 1 ""Crystal Beast"" card in your Spell & Trap Card Zone; Special Summon that target.",Field,,
Ancient Elf,LIGHT,Spellcaster,4,1450,1200,This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.,,,
Ancient Gear,EARTH,Machine / Effect,2,100,800,"If you control an ""Ancient Gear"", you can Special Summon this card (from your hand) in face-up Attack Position.",,,
Ancient Gear Beast,EARTH,Machine / Effect,6,2000,2000,"Cannot be Special Summoned. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. Negate the effects of an opponent's monster destroyed by battle with this card (including in the Graveyard).",,,
Ancient Gear Cannon,EARTH,Machine / Effect,2,500,500,"You can Tribute this card; inflict 500 damage to your opponent, and if you do, neither player can activate Trap Cards during the Battle Phase of this turn.",,,
Ancient Gear Castle,,Magic,,,,"All ""Ancient Gear"" monsters gain 300 ATK. Each time a monster is Normal Summoned/Set, place 1 counter on this card. If you Tribute Summon an ""Ancient Gear"" monster face-up, you can Tribute this card instead, if the number of its counters is equal to or greater than the number of required Tribute(s).",Continuous,,
Ancient Gear Drill,,Magic,,,,"If you control an ""Ancient Gear"" monster: Discard 1 card; Set 1 Spell Card directly from your Deck. This turn, that Spell Card cannot be activated.",Normal,,
Ancient Gear Engineer,EARTH,Machine / Effect,5,1500,1500,"Negate any Trap effects that target this card, and if you do, destroy that Trap Card. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. At the end of the Damage Step, if this card attacked: Target 1 Spell/Trap Card your opponent controls; destroy that target.",,,
Ancient Gear Explosive,,Magic,,,,"Target 1 ""Ancient Gear"" monster you control; destroy it, and if you do, inflict damage to your opponent equal to half its original ATK.",Normal,,
Ancient Gear Factory,,Magic,,,,"Reveal 1 Level 5 or higher ""Ancient Gear"" monster from your hand, then banish a number of ""Ancient Gear"" monsters from your Graveyard, whose combined Levels are double the revealed monster's, and if you do, if you Normal Summon the revealed monster this turn, you must Normal Smmon it without Tributing.",Normal,,
Ancient Gear Fist,,Magic,,,,"Equip only to an ""Ancient Gear"" monster. At the end of the Damage Step, if the equipped monster battled a monster and is still on the field: Destroy the monster it battled.",Equip,,
Ancient Gear Gadjiltron Chimera,EARTH,Machine / Effect,6,2300,1300,"This card gains the appropriate effects if you Normal Summon it by Tributing these monsters.
● Green Gadget: This card gains 300 ATK.
● Red Gadget: If this card inflicts battle damage to your opponent by a direct attack: Inflict 500 damage to your opponent.
● Yellow Gadget: If this card destroys an opponent's monster by battle: Inflict 700 damage to your opponent.",,,
Ancient Gear Gadjiltron Dragon,EARTH,Machine / Effect,8,3000,2000,"If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. This card gains the appropriate effects if you Normal Summon it by Tributing these monsters.
● Green Gadget: If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. 
● Red Gadget: If this card inflicts battle damage to your opponent: Inflict 400 damage to your opponent. 
● Yellow Gadget: If this card destroys an opponent's monster by battle: Inflict 600 damage to your opponent.",,,
Ancient Gear Golem,EARTH,Machine / Effect,8,3000,3000,"Cannot be Special Summoned. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. If this card attacks a Defense Position monster, inflict piercing battle damage.",,,
Ancient Gear Knight,EARTH,Machine / Gemini / Effect,4,1800,500,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.
● If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.",,,
Ancient Gear Soldier,EARTH,Machine / Effect,4,1300,1300,"If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.",,,
Ancient Gear Tank,,Magic,,,,"Equip only to an ""Ancient Gear"" monster. It gains 600 ATK. When this card is destroyed and sent to the Graveyard: Inflict 600 damage to your opponent.",Equip,,
Ancient Gear Workshop,,Magic,,,,"Target 1 ""Ancient Gear"" monster in your Graveyard; add that target to your hand.",Normal,,
Ancient Jar,EARTH,Rock,1,400,200,''A very fragile jar that contains something ancient and dangerous.'',,,
Ancient Lamp,WIND,Spellcaster / Effect,3,900,1400,"During your Main Phase: You can Special Summon ""La Jinn the Mystical Genie of the Lamp"" from your hand. This card must be face-up on the field to activate and to resolve this effect. Before damage calculation, if this card is being attacked by an opponent's monster, and was face-down at the start of the Damage Step: You can target 1 monster your opponent controls, except the attacking monster; the attacking monster attacks it instead, and you proceed to damage calculation.",,,
Ancient Lizard Warrior,EARTH,Reptile,4,1400,1100,"Before the dawn of man, this lizard warrior ruled supreme.",,,
Ancient One of the Deep Forest,EARTH,Beast,6,1800,1900,"This creature adopts the form of a white goat living in the forest, but is actually a Forest Elder.",,,
Ancient Rules,,Magic,,,,Special Summon 1 Level 5 or higher Normal Monster from your hand.,Normal,,
Ancient Sorcerer,DARK,Spellcaster,4,1000,1300,"''Armed with an array of magic wands, this creature is capable of multiple attacks.''",,,
Ancient Telescope,,Magic,,,,See the top 5 cards of your opponent's Deck. Return the cards to the Deck in the same order.,Normal,,
Ancient Tool,DARK,Machine,5,1700,1400,A destructive machine discovered in the Ruins of the Ancients.,,,
Ancient Tree of Enlightenment,EARTH,Plant,3,600,1500,''This ancient arbor uses its extensive knowledge to avoid the damage of enemy attacks.'',,,
Andro Sphinx,LIGHT,Beast / Effect,10,3000,2500,"You can pay 500 Life Points to Special Summon this card when ""Pyramid of Light"" is on the field. This card cannot attack during the turn that it is Normal Summoned or Special Summoned. This card cannot be Special Summoned from the Graveyard. If this card destroys a Defense Position monster as a result of battle, inflict damage to your opponent's Life Points equal to half of the ATK of the destroyed monster.",,,
Angel O7,LIGHT,Fairy / Effect,7,2500,1500,"When this card is Tribute Summoned, it gains the following effect: ● The effects of Effect Monsters cannot be activated.",,,
Ansatsu,EARTH,Warrior,5,1700,1200,A silent and deadly warrior specializing in assassinations.,,,
Ante,,Magic,,,,"Each Player reveals 1 card from their hand. If one card is higher Level than the other, the card with the lower Level is sent to the Graveyard, and the player who revealed it takes 1000 damage. (Non-Monster Cards are treated as Level 0.)",Normal,,
Anteatereatingant,EARTH,Insect / Effect,5,2000,500,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 2 Spell or Trap Cards you control to the Graveyard. You can destroy 1 Spell or Trap Card your opponent controls. If you activate this effect, this card cannot attack during this turn.",,,
Anthrosaurus,EARTH,Dinosaur,3,1000,850,"Dis man-like dinosawz gotta high I.Q., even tho he's lackin' in da strength depawtment. (Kinda like yooz, if ya had a high I.Q.! Nyaah!)",,,
Anti Raigeki,,Trap,,,,"When your opponent activates ""Raigeki"": Negate its effect, and if you do, destroy all monsters your opponent controls.",Normal,,
Anti-Aircraft Flower,EARTH,Plant / Effect,3,0,1600,"By Tributing 1 Insect-Type monster on your side of the field, inflict 800 points of damage to your opponent's Life Points.",,,
Anti-Fusion Device,,Trap,,,,Destroy 1 face-up Fusion Monster on the field.,Normal,,
Anti-Spell,,Trap,,,,Remove 2 Spell Counters on your side of the field to negate the activation of a Spell Card and destroy it.,Counter,,
Anti-Spell Fragrance,,Trap,,,,"Both players must Set Spell Cards before activating them, and cannot activate them until their next turn after Setting them.",Continuous,,
Apprentice Magician,DARK,Spellcaster / Effect,2,400,800,If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster monster from your Deck in face-down Defense Position.,,,
Appropriate,,Trap,,,,"Activate only when your opponent draws a card(s) outside of either Draw Phase. After that, each time your opponent draws a card(s) outside of either Draw Phase, immediately draw 2 cards.",Continuous,,
Aqua Chorus,,Trap,,,,"If there are monsters with the same name on the field, increase the ATK and DEF of all of those monsters with the same name by 500 points.",Continuous,,
Aqua Dragon,WATER,Sea Serpent / Fusion,6,2250,1900,"""Fairy Dragon"" + ""Amazon of the Seas"" + ""Zone Eater""",,,
Aqua Madoor,WATER,Spellcaster,4,1200,2000,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,,,
Aqua Snake,WATER,Aqua,3,1050,900,''This monster hypnotizes an opponent with the ball on its tail and draws them to a watery doom.'',,,
Aqua Spirit,WATER,Aqua / Effect,4,1600,1200,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 WATER monster in your Graveyard. During each of your opponent's Standby Phases, you can change the battle position of 1 of your opponent's face-up Monster Cards. Once changed, the monster must remain in this position for the rest of the turn.",,,
Aquarian Alessa,WATER,Aqua / Gemini / Effect,4,1500,500,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect:
● When this card destroys an opponent's monster by battle and sends it to the Graveyard, they discard 1 random card.",,,
Arcana Call,,Trap,,,,"Select 1 ""Arcana Force"" monster you control. Remove from play 1 ""Arcana Force"" monster from either player's Graveyard. Until the End Phase, the selected monster's effect becomes the removed monster's effect for the same coin toss result.",Normal,,
Arcana Force 0 - The Fool,LIGHT,Fairy / Effect,1,0,0,"This card cannot be destroyed by battle. This card cannot be changed to Defense Position, except with a card effect. When this card is Summoned: Toss a coin and gain the appropriate effect. ● Heads: Negate your card effects that target this card, and destroy them. ● Tails: Negate your opponent's card effects that target this card, and destroy them.",,,
Arcana Force EX - The Dark Ruler,LIGHT,Fairy / Effect,10,4000,4000,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by sending 3 monsters you control to the Graveyard, and cannot be Special Summoned by other ways. When this card is Special Summoned: Toss a coin and gain the appropriate effect.
● Heads: This card can make a second attack during each Battle Phase, but if it does so using this effect, change it to Defense Position at the end of the Battle Phase. Its battle position cannot be changed until the end of your next turn.
● Tails: If this card is destroyed, destroy all cards on the field.",,,
Arcana Force EX - The Light Ruler,LIGHT,Fairy / Effect,10,4000,4000,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by sending 3 monsters you control to the Graveyard, and cannot be Special Summoned by other ways. When this card is Special Summoned: Toss a coin and gain the appropriate effect.
● Heads: When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can target 1 card in your Graveyard; add that target to your hand.
● Tails: During either player's turn, when a Spell/Trap Card, or monster effect, that targets this card is activated: This card loses exactly 1000 ATK and you negate the activation, and if you do, destroy it.",,,
Arcana Force I - The Magician,LIGHT,Fairy / Effect,4,1100,1100,"When this card is Summoned, toss a coin:
● Heads: When a Spell Card is activated, this card's ATK becomes double its original ATK until the End Phase of that turn.
● Tails: When a Spell Card is activated, your opponent gains 500 Life Points.",,,
Arcana Force III - The Empress,LIGHT,Fairy / Effect,4,1300,1300,"When this card is Summoned, toss a coin: ● Heads: Each time your opponent Normal Summons or Sets a monster, you can Special Summon 1 ""Arcana Force"" monster from your hand. ● Tails: Each time your opponent Normal Summons or Sets a monster, send 1 card from your hand to the Graveyard.",,,
Arcana Force IV - The Emperor,LIGHT,Fairy / Effect,4,1400,1400,"When this card is Summoned, toss a coin: ● Heads: All ""Arcana Force"" monsters you control gain 500 ATK. ● Tails: All ""Arcana Force"" monsters you control lose 500 ATK.",,,
Arcana Force VI - The Lovers,LIGHT,Fairy / Effect,4,1600,1600,"When this card is Summoned, toss a coin: ● Heads: This card can be treated as 2 Tributes for the Tribute Summon of an ""Arcana Force"" monster. ● Tails: You cannot Tribute Summon ""Arcana Force"" monsters.",,,
Arcana Force VII - The Chariot,LIGHT,Fairy / Effect,4,1700,1700,"When this card is Summoned, toss a coin:
● Heads: If this card destroys an opponent's monster by battle, you can Special Summon that monster to your side of the field.
● Tails: Your opponent gains control of this card.",,,
Arcana Force XIV - Temperance,LIGHT,Fairy / Effect,6,2400,2400,"During damage calculation, in either player's turn: You can discard this card; you take no Battle Damage from that battle. When this card is Summoned: Toss a coin and apply this effect. The effect lasts while this card is face-up on the field.
● Heads: Halve all Battle Damage you take.
● Tails: Halve all Battle Damage your opponent takes.",,,
