Name,Attribute,Type,Level,Attack,Defense,Description,Property,Status,Limitation text
Ancient Tree of Enlightenment,EARTH,Plant,3,600.0,1500.0,This ancient arbor uses its extensive knowledge to avoid the damage of enemy attacks.,,,
Ansatsu,EARTH,Warrior,5,1700.0,1200.0,A silent and deadly warrior specializing in assassinations.,,,
Anthrosaurus,EARTH,Dinosaur,3,1000.0,850.0,Man-like dinosaur with a high I.Q. that is lacking in strength.,,,
Anti Raigeki,,Trap,,,,"When your opponent activates ""Raigeki"", all of your opponent's monsters are destroyed in place of your own.",,,
Anti-Magic Fragrance,,Trap,,,,"As long as this card remains on the field, Magic Cards must always be Set on the field and cannot be activated until a player's following turn.",Continuous,,
Appropriate,,Trap,,,,You can activate this card when your opponent draws a card outside of his/her Draw Phase. Draw 2 cards from your Deck.,Continuous,,
Aqua Chorus,,Trap,,,,"If there are Monster Cards of the same name on the field, the ATK and DEF of those cards are increased by 500 points.",Continuous,,
Aqua Dragon,WATER,Sea Serpent  / Fusion,6,2250.0,1900.0,Fairy Dragon + Amazon of the Seas + Zone Eater,,,
Aqua Madoor,WATER,Spellcaster,4,1200.0,2000.0,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,,,
Aqua Snake,WATER,Aqua,3,1050.0,900.0,This monster hypnotizes an opponent with the ball on its tail and drags them to a watery doom.,,,
Aqua Spirit,WATER,Aqua  / Effect,4,1600.0,1200.0,"Special Summon this card by removing 1 WATER monster from your Graveyard. During each of your opponent's Standby Phases, you can change the Attack or Defense Position of 1 of your opponent's face-up Monster Cards. Once changed, the monster must remain in this position for the rest of the turn.",,,
Arlownay,EARTH,Plant,3,800.0,1000.0,"A lady monster dwelling in a flower, she sprinkles the air with poisonous pollen.",,,
Arma Knight,WATER,Aqua,4,1000.0,1200.0,An ammonite warrior that has protected the seas throughout history.,,,
Armaill,EARTH,Warrior,3,700.0,1300.0,A strange warrior who manipulates three deadly blades with both hands and his tail.,,,
Armed Ninja,EARTH,Warrior  / Effect,1,300.0,300.0,"FLIP: Destroys 1 Magic Card on the field. If this card's target is face-down, flip it face-up. If the card is a Magic Card, it is destroyed. If not, it is returned to its face-down position. The flipped card is not activated.",,,
Armored Glass,,Trap,,,,You can activate this card when a monster is equpped with an Equip Magic Card. Negate the effects of all Equip Magic Cards on the field during the turn this card is activated.,,,
Armored Lizard,EARTH,Reptile,4,1500.0,1200.0,A lizard with a very tough hide and a vicious bite.,,,
Armored Rat,EARTH,Beast,3,950.0,1100.0,The fur on this monster rat is tough enough to repel swords.,,,
Armored Starfish,WATER,Aqua,4,850.0,1400.0,A bluish starfish with a very tough hide for repelling attacks.,,,
Armored Zombie,DARK,Zombie,3,1500.0,0.0,This warrior blindly swings a deadly blade with devastating force.,,,
Attack and Receive,,Trap,,,,"You can activate this card when you take damage to your Life Points. Inflict 700 points of Direct Damage to your opponent's Life Points. In addition, inflict 300 points of Direct Damage to your opponent's Life Points per card if there are additional ""Attack and Receive"" cards in your Graveyard.",,,
Axe Raider,EARTH,Warrior,4,1700.0,1150.0,An axe-wielding monster of tremendous strength and agility.,,,
Axe of Despair,,Magic,,,,"A monster equipped with this card increases its ATK by 1000 points. When this card is sent from the field to the Graveyard, you can offer 1 monster from the field as a Tribute to place it on top of your Deck.",Equip,,
B. Dragon Jungle King,EARTH,Dragon,6,2100.0,1800.0,A jet-black dragon found in the deepest jungles who normally devours trees.,,,
B. Skull Dragon,DARK,Dragon  / Fusion,9,3200.0,2500.0,Summoned Skull + Red-Eyes B. Dragon,,,
Baby Dragon,WIND,Dragon,3,1200.0,700.0,"Much more than just a child, this dragon is gifted with untapped power.",,,
Backup Soldier,,Trap,,,,You can activate this card when there are 5 or more Monster Cards in your Graveyard. Take up to 3 Monster Cards (except monsters with effects) with an ATK of 1500 points or less from your Graveyard and add them to your hand.,,,
Banisher of the Light,LIGHT,Fairy  / Effect,3,100.0,2000.0,"As long as this card remains face-up on the field, any card sent to the Graveyard is removed from play.",,,
Baron of the Fiend Sword,DARK,Fiend,4,1550.0,800.0,An aristocrat who wields a sword possessed by a malicious spirit that preys on the weak.,,,
Barox,DARK,Fiend  / Fusion,5,1380.0,1530.0,Frenzied Panda + Ryu-Kishin,,,
Barrel Dragon,DARK,Machine  / Effect,7,2600.0,2200.0,"Toss a coin 3 times. If 2 out of 3 results are Heads, destroy 1 monster on your opponent's side of the field. This card's effect can only be used during your own turn, once per turn.",,,
Barrel Lily,EARTH,Plant,3,1100.0,600.0,This wicked flower attacks enemies with pollen projectiles.,,,
Barrel Rock,EARTH,Rock,4,1000.0,1300.0,"Shouldering a pair of machine guns, this monster is unstoppable.",,,
Basic Insect,EARTH,Insect,2,500.0,700.0,"Usually found traveling in swarms, this creature's ideal environment is the forest.",,,
Bat,WIND,Machine,1,300.0,350.0,A mechanical bat that drops blasts from its wings.,,,
Battle Ox,EARTH,Beast-Warrior,4,1700.0,1000.0,"A monster with tremendous power, it destroys enemies with a swing of its axe.",,,
Battle Steer,EARTH,Beast-Warrior,5,1800.0,1300.0,"A bull monster often found in the woods, it charges enemy monsters with a pair of deadly horns.",,,
Battle Warrior,EARTH,Warrior,3,700.0,1000.0,A warrior that fights with his bare hands.,,,
Bazoo the Soul-Eater,EARTH,Beast  / Effect,4,1600.0,900.0,You can remove up to 3 cards from your Graveyard. Your ATK increases until the end of your opponent's turn by 300 points for each card removed. This effect can only be used only once during your turn.,,,
Beaked Snake,EARTH,Reptile,3,800.0,900.0,This monster wraps itself around an opponent and pecks away with its huge beak.,,,
Bean Soldier,EARTH,Plant,4,1400.0,1300.0,A plant-warrior that attacks with seeds and sword.,,,
Beast Fangs,,Magic,,,,A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.,Equip,,
Beast of Gilfer,DARK,Fiend  / Effect,6,2200.0,2500.0,"When this card is sent to the Graveyard, it can be treated as an Equip Magic Card and can be used to equip 1 monster on the field. The ATK of a monster equipped with this card decreases by 500 points.",,,
Beastking of the Swamps,WATER,Aqua  / Effect,4,1000.0,1100.0,You can substitute this card for any 1 Fusion-Material Monster. You cannot substitute for any other Fusion-Material Monsters in the current Fusion.,,,
Beastly Mirror Ritual,,Magic,,,,"This card is used to summon ""Fiend's Mirror"". You must also offer monsters whose total Level stars equal 6 or more as a Tribute from the field or your hand.",Ritual,,
Beautiful Beast Trainer,EARTH,Warrior,5,1750.0,1500.0,A rare female beast-master with a very dangerous whip.,,,
Beautiful Headhuntress,EARTH,Warrior,4,1600.0,800.0,A vicious creature that has decapitated numerous enemy monsters.,,,
Beaver Warrior,EARTH,Beast-Warrior,4,1200.0,1500.0,What this creature lacks in size it makes up for in defense when battling in the prairie.,,,
Behegon,WATER,Aqua,4,1350.0,1000.0,"With a large mouth and massive teeth, this is one dangerous and strange sea snake.",,,
Bell of Destruction,,Trap,,,,Destroy 1 face-up Monster Card and inflict Direct Damage equal to the destroyed card's ATK to the Life Points of both you and your opponent.,,Limited,
Berfomet,DARK,Fiend  / Effect,5,1400.0,1800.0,"When this card is summoned (excluding Special Summon), you can add 1 ""Gazelle the King of Mythical Beasts"" from your Deck to your hand.",,,
Beta The Magnet Warrior,EARTH,Rock,4,1700.0,1600.0,"Alpha, Beta, and Gamma meld as one to form a powerful monster.",,,
Bickuribox,DARK,Fiend  / Fusion,7,2300.0,2000.0,Crass Clown + Dream Clown,,,
Big Eye,DARK,Fiend  / Effect,4,1200.0,1000.0,"FLIP: See the 5 cards from the top of your Deck, arrange them in any order desired, and replace them on top of the Deck.",,,
Big Insect,EARTH,Insect,4,1200.0,1500.0,"A giant ant that dwells in the jungle, it is powerful whether attacking or defending.",,,
Big Shield Gardna,EARTH,Warrior  / Effect,4,100.0,2600.0,"When this card is face-down and targeted by a Magic Card whose effect targets only 1 monster the Magic Card is negated and this card is turned face-up in Defense Position. When this card is attacked, it is shifted to Attack Position following the Damage step.",,,
Binding Chain,LIGHT,Fairy,3,1000.0,1100.0,The mystic links of this chain can rob enemies of their power.,,,
Bio Plant,DARK,Fiend,3,600.0,1300.0,A monster created from a major accident in an underground lab.,,,
Bio-Mage,LIGHT,Fairy,3,1150.0,1000.0,A mysterious priest created as a result of the latest advances in biotechnology.,,,
Bite Shoes,DARK,Fiend  / Effect,2,500.0,300.0,FLIP: Change the Attack or Defense Position of 1 face-up monster on the field. The card must remain face-up.,,,
Black Illusion Ritual,,Magic,,,,"This card is used to Ritual Summon ""Relinquished"". You must also offer monsters whose total Level Stars equal 1 or more from the field or your hand as a Tribute.",Ritual,,
Black Luster Ritual,,Magic,,,,"This card is used to summon ""Black Luster Soldier"". You must also offer monsters whose total Level stars equal 8 or more from the field or your hand as a Tribute.",Ritual,,
Black Luster Soldier,EARTH,Warrior  / Ritual,8,3000.0,2500.0,"This monster is summoned with the Ritual Magic Card, ""Black Luster Ritual"". You must also offer monsters whose total Level stars equal 8 or more from the field or your hand as a Tribute.",,,
Black Pendant,,Magic,,,,"A monster equipped with this card increases its ATK by 500 points. When this card is sent from the field to the Graveyard, inflict 500 points of Direct Damage to your opponent's Life Points.",Equip,,
Blackland Fire Dragon,DARK,Dragon,4,1500.0,800.0,"A dragon that dwells in the depths of darkness, its vulnerability lies in its poor eyesight.",,,
Bladefly,WIND,Insect  / Effect,2,600.0,700.0,"As long as this card remains face-up on the field, increase the ATK of all WIND monsters by 500 points and decrease the ATK of all EARTH monsters by 400 points.",,,
Blast Juggler,FIRE,Machine  / Effect,3,800.0,900.0,Offer this card as a Tribute during your Standby Phase if face-up to destroy 2 face-up monsters with an ATK of 1000 or less.,,,
Blind Destruction,,Trap,,,,"During your Standby Phase, roll 1 die. Destroy any monsters whose level is equal to the number rolled. If the number is ""6"", destroy all Level 6 or higher monsters.",Continuous,,
Block Attack,,Magic,,,,Select 1 of your opponent's monsters and shift it to Defense Position.,,,
Blocker,DARK,Machine,4,850.0,1800.0,This monster has several components that can be launched for formation attacks.,,,
Blue Medicine,,Magic,,,,Increase both your and your opponent's Life Points by 400 points.,,,
Blue-Eyed Silver Zombie,DARK,Zombie,3,900.0,700.0,The beams from the eyes of this creature are said to turn enemies into zombies.,,,
Blue-Eyes Toon Dragon,LIGHT,Dragon  / Effect,8,3000.0,2500.0,"This card cannot be summoned unless ""Toon World"" is on the field. This card cannot attack in the same turn that it is summoned. Pay 500 Life Points each time this monster attacks. When ""Toon World"" is destroyed, this card is also destroyed. If your opponent doesn't control a Toon monster on the field, this card may inflict Direct Damage to your opponent's Life Points. If a Toon monster is on your opponent's side of the field, your attacks must target the Toon monster.",,,
Blue-Eyes Ultimate Dragon,LIGHT,Dragon  / Fusion,12,4500.0,3800.0,Blue-Eyes White Dragon + Blue-Eyes White Dragon + Blue-Eyes White Dragon,,,
Blue-Eyes White Dragon,LIGHT,Dragon,8,3000.0,2500.0,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",,,
Blue-Eyes White Dragon,LIGHT,Dragon,8,3000.0,2500.0,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",,,
Blue-Winged Crown,WIND,Winged Beast,4,1600.0,1200.0,"With hair shaped like a crown and a body encased in bluish white flames, this bird is a formidable sight.",,,
Boar Soldier,EARTH,Beast-Warrior  / Effect,4,2000.0,500.0,"This card can only be summoned by a Flip Summon. If summoned by a Normal Summon, the card is destroyed. If your opponent has 1 or more monsters under his/her control, the ATK of this card is decreased by 1000 points.",,,
Bolt Escargot,WATER,Thunder,5,1400.0,1500.0,"After rendering an opponent immobile by spitting a sticky goo, this monster closes in for the attack.",,,
Bolt Penguin,WATER,Thunder,3,1100.0,800.0,"With both arms forming an electric whip, this monster paralyzes its enemies with electric shocks.",,,
Bombardment Beetle,WIND,Insect  / Effect,2,400.0,900.0,"FLIP: Flip 1 face-down Defense Position Monster Card on your opponent's side of the field face-up. If the flipped card is an Effect Monster Card, immediately destroy it without activating its effect. If the card is not an Effect Monster Card, return it to its original position.",,,
Bone Mouse,DARK,Zombie,1,400.0,300.0,A mouse that has returned as a zombie to seek revenge on cats.,,,
Boneheimer,WATER,Aqua,3,850.0,400.0,"This monster wanders the seas, sucking dry any creatures it may encounter.",,,
Boo Koo,DARK,Spellcaster,2,650.0,500.0,A book-like wizard with a wealth of magic written inside.,,,
Book of Secret Arts,,Magic,,,,A Spellcaster-Type monster equipped with this card increases its ATK and DEF by 300 points.,Equip,,
Bottom Dweller,WATER,Fish,5,1650.0,1700.0,This is one sea creature whose wrath is something monsters fear to face.,,,
Boulder Tortoise,WATER,Aqua,6,1450.0,2200.0,A stone turtle that is nearly indestructible.,,,
Bracchio-raidus,WATER,Dinosaur  / Fusion,6,2200.0,2000.0,Two-Headed King Rex + Crawling Dragon #2,,,
Brave Scizzar,DARK,Machine,4,1300.0,1000.0,"Armed with a mass of scissors, this monster can clip an enemy into any desired shape and size.",,,
Breath of Light,,Magic,,,,Destroys all Rock-Type monsters on the field.,,,
Bright Castle,,Magic,,,,Increases the ATK of all LIGHT monsters by 700 points.,Equip,,
Bubonic Vermin,EARTH,Beast  / Effect,3,900.0,600.0,"FLIP: You can take 1 ""Bubonic Vermin"" card from your Deck and Special Summon it on the field in face-down Defense Position. The Deck is then shuffled.",,,
Burglar,EARTH,Beast,3,850.0,800.0,A wily rat armed with a huge left claw.,,,
Burning Land,,Magic,,,,"Destroys all Field Magic Cards on the field. In addition, both players take 500 points of Direct Damage during each of their respective Standby Phases.",Continuous,,
Burning Spear,,Magic,,,,A FIRE monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.,Equip,,
Buster Blader,EARTH,Warrior  / Effect,7,2600.0,2300.0,The ATK of this card increases by 500 points for every Dragon-Type monster on your opponent's side of the field and Graveyard.,,,
Call Of The Haunted,,Trap,,,,"Select 1 monster from your Graveyard and Special Summon it in face-up Attack Position. When this card is destroyed or removed from the field, the summoned monster is destroyed. If the summoned monster is destroyed, this card is also destroyed.",Continuous,Limited,
Call of the Dark,,Trap,,,,"All monsters restored with ""Monster Reborn"" are sent to the Graveyard. ""Monster Reborn"" also cannot be played as long as this card remains on the field.",Continuous,,
Call of the Grave,,Trap,,,,"Deactivate the effect of ""Monster Reborn"" when your opponent plays it.",,,
Candle of Fate,DARK,Fiend,2,600.0,600.0,Decides the fate of an opponent when the candle on its fingertip burns out.,,,
Cannon Soldier,DARK,Machine  / Effect,4,1400.0,1300.0,Offer 1 monster on your side of the field as a Tribute to inflict 500 points of Direct Damage to your opponent's Life Points. Monsters used for a Tribute Summon or that are offered as Tributes due to other cards' effects are excluded.,,,
Card Destruction,,Magic,,,,Both players must discard their entire hands and draw the same number of cards that they discarded from their respective Decks.,,Limited,
Card of Safe Return,,Magic,,,,You can draw 1 card from your Deck when a monster is Special Summoned to the field from your Graveyard.,Continuous,,
Castle Walls,,Trap,,,,Increase a selected monster's DEF by 500 points during the turn this card is activated.,,,
Castle of Dark Illusions,DARK,Fiend  / Effect,4,920.0,1930.0,"FLIP: Increases the ATK and DEF of all Zombie-Type monsters by 200 points. As long as this card remains face-up on the field, the ATK and DEF of Zombie-Type monsters continues to increase by 200 points during each of your Standby Phases. This effect continues until your 4th turn after the card is activated.",,,
Catapult Turtle,WATER,Aqua  / Effect,5,1000.0,2000.0,Offer 1 monster on your side of the field as a Tribute to inflict Direct Damage equal to half of the Tribute monster's ATK to your opponent's Life Points.  Monsters used for a Tribute Summon or that are offered as Tributes due to other cards' effects are excluded.,,,
Ceasefire,,Trap,,,,Flip all face-down Monster Cards on the field face-up (Flip Effects are not activated). Inflict 500 points of Direct Damage to your opponent's Life Points for each Effect Monster Card on the field.,,Limited,
Celtic Guardian,EARTH,Warrior,4,1400.0,1200.0,"An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.",,,
Celtic Guardian,EARTH,Warrior,4,1400.0,1200.0,"An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.",,,
Ceremonial Bell,LIGHT,Spellcaster  / Effect,3,0.0,1850.0,"As long as this card remains face-up on the field, you and your opponent must show your respective hands to each other.",,,
Chain Destruction,,Trap,,,,"You can activate this card when a monster with an ATK of 2000 points or less is summoned (including Special Summon). This monster is not destroyed, but all Monster Cards of the same name in the summoning player's hand and Deck are destroyed. The summoning player's Deck is then shuffled.",,,
Chain Energy,,Magic,,,,"As long as this card remains face-up on the field, both you and your opponent must pay 500 Life Points per card to play or Set cards from your respective hands.",Continuous,,
Chakra,DARK,Fiend  / Ritual,7,2450.0,2000.0,"This monster is summoned with the Ritual Magic Card, ""Resurrection of Chakra"". You must also offer monsters whose total Level stars equal 7 or more as a Tribute from the field or your hand.",,,
Change Slime,WATER,Aqua,1,400.0,300.0,A slime that can morph and adopt the shape and size of any monster it chooses.,,,
Change of Heart,,Magic,,,,Select and control 1 opposing monster (regardless of position) on the field until the end of your turn.,,Limited,
Charubin the Fire Knight,FIRE,Pyro  / Fusion,3,1100.0,800.0,Monster Egg + Hinotama Soul,,,
Chimera the Flying Mythical Beast,WIND,Beast  / Fusion / Effect,6,2100.0,1800.0,"""Gazelle the King of Mythical Beasts"" + ""Berfomet"".   When this card is destroyed, you can Special Summon either ""Gazelle the King of Mythical Beasts"" or ""Berfomet"" from your Graveyard, and place it on the field face-up in either Attack or Defense position.",,,
Chorus of Sanctuary,,Magic,,,,Increases the DEF of all Defense Position monsters by 500 points.,Field,,
Chosen One,,Magic,,,,"Select 2 cards including 1 Monster Card from your hand. Your opponent randomly selects 1 of the 2 cards. If the selected card is the Monster Card, place it on the field as a Special Summon and send the remaining card to the Graveyard. If the selected card is not the Monster Card, both cards are sent to the Graveyard.",,,
Claw Reacher,DARK,Fiend,3,1000.0,800.0,Stretching arms and razor-sharp claws make this monster a formidable opponent.,,,
Clown Zombie,DARK,Zombie,2,1350.0,0.0,"A clown revived by the powers of darkness, its deadly dance has sent many monsters to their grave.",,,
Cockroach Knight,EARTH,Insect  / Effect,3,800.0,900.0,"When this card has been sent to the Graveyard, it is returned to the top of the Deck.",,,
Cocoon of Evolution,EARTH,Insect  / Effect,3,0.0,2000.0,"You may treat this card as an Equip Magic Card on a face-up ""Petit Moth"" on the field.  When equipped, the ATK and DEF of ""Petit Moth"" becomes the same as ""Cocoon of Evolution"".",,,
Cold Wave,,Magic,,,,"This card can only be activated at the start of Main Phase 1. Until your next turn, neither you nor your opponent can play or Set any Magic or Trap Cards.",,,
Collected Power,,Trap,,,,"You can take all Equip cards on the field and equip 1 selected monster with them. If an Equip card cannot be applied to the monster, destroy the card.",,,
Commencement Dance,,Magic,,,,"This card is used to Ritual Summon ""Performance of Sword"". You must also offer monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.",Ritual,,
Confiscation,,Magic,,,,Pay 1000 Life Points to look at your opponent's hand. Select 1 card and discard it to the Graveyard.,,Limited,
Copycat,LIGHT,Spellcaster  / Effect,1,0.0,0.0,When this card is Summoned (including Special Summon) it adopts the original ATK and DEF of 1 opponent's monster.,,,
Corroding Shark,DARK,Zombie,3,1100.0,700.0,A zombie shark that can deliver its lethal curse with a spell.,,,
Cosmo Queen,DARK,Spellcaster,8,2900.0,2450.0,Queen of the galaxies and mistress of the stars.,,,
Crab Turtle,WATER,Aqua  / Ritual,8,2550.0,2500.0,"This monster can only be Ritual Summoned with the Ritual Magic Card, ""Turtle Oath"". You must also offer monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.",,,
Crass Clown,DARK,Fiend  / Effect,4,1350.0,1400.0,"When this card is changed from Defense Position to Attack Position, return 1 monster on your opponent's side of the field to the owner's hand.",,,
Crawling Dragon,EARTH,Dragon,5,1600.0,1400.0,"This weakened dragon can no longer fly, but is still a deadly force to be reckoned with.",,,
Crawling Dragon #2,EARTH,Dinosaur,4,1600.0,1200.0,A powerful dragon with teeth that can grind almost anything to dust.,,,
Crazy Fish,WATER,Fish,4,1600.0,1200.0,A flying fish that attacks with its pointed head.,,,
Crimson Sentry,FIRE,Warrior  / Effect,4,1500.0,1200.0,"If this card is face-up, offer it as a Tribute to return 1 of your monsters destroyed in battle this turn to the bottom of your Deck.",,,
Crimson Sunbird,FIRE,Winged Beast  / Fusion,6,2300.0,1800.0,Faith Bird + Skull Red Bird,,,
Crow Goblin,WIND,Winged Beast,5,1850.0,1600.0,"A clever long-nosed goblin, he is a force to be reckoned with.",,,
Crush Card,,Trap,,,,"Offer 1 DARK monster as a Tribute.  Any opponent's monster with an ATK of 1500 or higher on the field, in your opponent's hand, or drawn in the next 3 turns is automatically destroyed.",,,
Cure Mermaid,WATER,Fish  / Effect,4,1500.0,800.0,"As long as this card remains face-up on the field, you recover 800 Life Points at each of your Standby Phases.",,,
Curse of Dragon,DARK,Dragon,5,2000.0,1500.0,A wicked dragon that taps into dark forces to execute a powerful attack.,,,
Curse of Fiend,,Magic,,,,"Changes the battle positions of all Attack Position monsters on the field to Defense Position and vice-versa. These positions cannot be changed during the turn this card is activated except by the effect of a Magic, Trap or Effect Monster Card. You can activate this card only during your Standby Phase.",,,
Curse of the Masked Beast,,Magic,,,,"This card is used to summon ""The Masked Beast"". You must also offer monsters whose total Level stars equal 8 or more as a Tribute from the field or your hand.",Ritual,,
Curtain of the Dark Ones,DARK,Spellcaster,2,600.0,500.0,"A curtain that a spellcaster made, it is said to raise a dark power.",,,
Cyber Commander,DARK,Machine,2,750.0,700.0,A strike force equipped with rocket launchers and bazookas.,,,
Cyber Falcon,WIND,Machine,4,1400.0,1200.0,A jet-powered hawk that travels at the speed of sound.,,,
Cyber Harpie,WIND,Winged Beast  / Effect,4,1800.0,1300.0,"This card is treated as ""Harpie Lady"".",,,
Cyber Jar,DARK,Rock  / Effect,3,900.0,900.0,FLIP: Destroy all monsters on the field (including this monster). Both players then pick up (not Draw) 5 cards from the top of their respective Decks and show the cards to each other. Immediately Special Summon any Monster Cards of Level 4 or lower among them on the field in face-up Attack Position or face-down Defense Position. The rest of the cards picked up are placed in the players' hands.,,Limited,
Cyber Saurus,EARTH,Machine  / Fusion,5,1800.0,1400.0,Blast Juggler + Two-Headed King Rex,,,
Cyber Shield,,Magic,,,,"Increases the ATK of either ""Harpie Lady"" or ""Harpie Lady Sisters"" by 500 points.",Equip,,
Cyber Soldier,DARK,Machine,5,1500.0,1700.0,"Guardian of the Machine Master, it crushes opposition by rolling over them.",,,
Cyber Soldier of Darkworld,DARK,Machine,4,1400.0,1200.0,A mechanical soldier that won't stop attacking until all life readings have been extinguished from its sensors.,,,
Cyber-Stein,DARK,Machine  / Effect,2,700.0,500.0,"At the cost of 5000 of your own Life Points, you can Special Summon 1 Fusion Monster from your Fusion Deck in face-up Attack Position.",,,
Cyber-Tech Alligator,WIND,Machine,5,2500.0,1600.0,A winged dragon brought back to life by means of modern technology.,,,
Cyclon Laser,,Magic,,,,"This card can only be used to equip ""Gradius"". Gradius' ATK increases by 300 points. If Gradius' ATK exceeds the DEF of the defending monster when attacking a monster in Defense Position, the difference is deducted from your opponent's Life Points.",Equip,,
D. Human,EARTH,Warrior,4,1300.0,1100.0,"Gifted with the power of dragons, this warrior wields a sword created from a dragon's fang.",,,
DNA Surgery,,Trap,,,,"Select 1 Type of monster. As long as this card remains on the field, all face-up Monster Cards will be treated as the Type you selected.",Continuous,,
Dancing Elf,WIND,Fairy,1,300.0,200.0,An elf that dances across the sky with wings of razor-sharp blades.,,,
Dancing Fairy,WIND,Fairy  / Effect,4,1700.0,1000.0,"As long as this card remains on the field in face-up Defense Position, you gain 1000 Life Points at each of your Standby Phases.",,,
Dark Artist,DARK,Fiend  / Effect,3,600.0,1400.0,The DEF of this monster is decreased by half when attacked by LIGHT monsters.,,,
Dark Assailant,DARK,Zombie,4,1200.0,1200.0,"Armed with the Psycho Sword, this sinister assassin rules the bad land.",,,
Dark Bat,WIND,Winged Beast,3,1000.0,1000.0,Bats from the netherworld that use their hyper senses to detect their enemies.,,,
Dark Chimera,DARK,Fiend,5,1610.0,1460.0,A fire-breathing monster that dwells in the netherworld.,,,
